yyyymmdd,jindices,jcount,party_list
19700101,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700102,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700103,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700104,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700105,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700106,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700107,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700108,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700109,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700110,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700111,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700112,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700113,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700114,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700115,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700116,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700117,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700118,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700119,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700120,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700121,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700122,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700123,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700124,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700125,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700126,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700127,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700128,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700129,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700130,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
19700131,[ 67  79 116  70  78  85  81  82],8,"['Democratic', 'Republican', 'Republican', 'Democratic', 'Republican', 'Democratic', 'Republican', 'Democratic']"
